SAMPLE                                            	   XSEC   	EVENTS    	LUMI

HTbinnedWJets_70to100                             	   1271   	 66220256 	52100.910
HTbinnedWJets_100to200                            	   1250   	 51408967 	41127.174
HTbinnedWJets_200to400                            	   338    	 58225632 	172265.183
HTbinnedWJets_400to600                            	  45.44   	 7444030  	163821.083
HTbinnedWJets_600to800                            	  10.89   	 7718765  	708793.848
HTbinnedWJets_800to1200                           	   4.93   	 7306187  	1481985.193
HTbinnedWJets_1200to2500                          	  1.157   	 6481518  	5602003.457
HTbinnedWJets_2500toInf                           	 0.02642  	 2097648  	79396214.989
HTbinnedWJets_Inclusive                           	  53450   	 78307186 	1465.055
QCD_MuEnriched_20to30                             	 2538000  	 64623134 	25.462
QCD_MuEnriched_30to50                             	 1369000  	 58639613 	42.834
QCD_MuEnriched_50to80                             	  378000  	 40322726 	106.674
QCD_MuEnriched_80to120                            	  89430   	 45981017 	514.157
QCD_MuEnriched_120to170                           	  21090   	 39394151 	1867.907
QCD_MuEnriched_170to300                           	   7001   	 73071987 	10437.364
QCD_MuEnriched_300to470                           	  618.9   	 58692910 	94834.238
QCD_MuEnriched_470to600                           	  58.54   	 39491752 	674611.411
QCD_MuEnriched_600to800                           	  18.05   	 39321940 	2178500.831
QCD_MuEnriched_800to1000                          	  3.281   	 78215559 	23838939.043
QCD_MuEnriched_20toInf                            	523400000 	 17392472 	0.033
DYJetsToLL_M50                                    	   6448   	195529774 	30324.096
DYJetsToLL_M10to50                                	  15940   	 68480179 	4296.122
SingleTop_s-channel_LeptonDecays                  	  3.549   	 13620000 	3837700.761
SingleTop_t-channel_AntiTop_InclusiveDecays       	  67.93   	 69793000 	1027425.291
SingleTop_t-channel_Top_InclusiveDecays           	  113.4   	129903000 	1145529.101
SingleTop_tW_AntiTop_InclusiceDecays              	  32.51   	 5649000  	173761.919
SingleTop_tW_Top_InclusiveDecays                  	  32.45   	 5674000  	174853.621
TTBar_TTTo2L2Nu                                   	  88.29   	106724000 	1208789.217
TTBar_TTToSemiLeptonic                            	  365.34  	346052000 	947205.343
ZZ_ZZTo4L                                         	  1.325   	 99388000 	75009811.321
ZZ_ZZTo2Q2L                                       	  3.703   	 29521496 	7972318.661
ZZ_ZZTo2L2Nu                                      	  0.9738  	 40839000 	41937769.563
ZZ_ZZTo2Q2Nu                                      	  4.498   	 4934394  	1097019.564
WZ_WZTo3LNu                                       	  5.197   	 10339582 	1989528.959
WZ_WZTo2Q2L                                       	  6.351   	 29091996 	4580695.324
WZ_WZTo1L1Nu2Q                                    	  9.184   	 7345742  	799841.246
WZ_WZTo2L2Q                                       	  6.351   	 29091996 	4580695.324
WW_WWTo4Q                                         	  51.15   	 39443728 	771138.377
WW_WWTo1L1Nu2Q                                    	  51.14   	 39931603 	780829.155
WW_WWTo2L2Nu                                      	  11.09   	 7098000  	640036.069
SingleMuon_SingleMuon_B                           	 unknown  	136300266 	unknown
SingleMuon_SingleMuon_C                           	 unknown  	165652756 	unknown
SingleMuon_SingleMuon_D                           	 unknown  	 70361660 	unknown
SingleMuon_SingleMuon_E                           	 unknown  	154618774 	unknown
SingleMuon_SingleMuon_F                           	 unknown  	242140980 	unknown
